case_id,nomor_perkara,missing_columns,jumlah_missing,status
case_001,1092/Pid.B/2025/PN Rap,,0,valid
case_002,1048/Pid.B/2024/PN Rap,,0,valid
case_003,1117/Pid.B/2024/PN Rap,,0,valid
case_004,1156/Pid.B/2024/PN Rap,,0,valid
case_005,23/Pid.B/2025/PN Rap,,0,valid
case_006,26/Pid.B/2025/PN Rap,,0,valid
case_007,162/Pid.B/2025/PN Rap,,0,valid
case_008,179/Pid.B/2025/PN Rap,,0,valid
case_009,180/Pid.B/2025/PN Rap,,0,valid
case_010,216/Pid.B/2025/PN Rap,,0,valid
case_011,274/Pid.B/2025/PN Rap,,0,valid
case_012,276/Pid.B/2025/PN Rap,,0,valid
case_013,282/Pid.B/2025/PN Rap,,0,valid
case_014,445/Pid.B/2025/PN Rap,,0,valid
case_015,484/Pid.B/2025/PN Rap,,0,valid
case_016,510/Pid.B/2025/PN Rap,,0,valid
case_017,541/Pid.B/2025/PN Rap,,0,valid
case_018,550/Pid.B/2025/PN Rap,,0,valid
case_019,609/Pid.B/2025/PN Rap,,0,valid
case_020,800/Pid.B/2025/PN Rap,,0,valid
case_021,808/Pid.B/2025/PN Rap,,0,valid
case_022,812/Pid.B/2025/PN Rap,,0,valid
case_023,895/Pid.B/2025/PN Rap,,0,valid
case_024,515/Pid.B/2024/PN Rap,,0,valid
case_025,628/Pid.B/2024/PN Rap,,0,valid
case_026,629/Pid.B/2024/PN Rap,,0,valid
case_027,684/Pid.B/2024/PN Rap,,0,valid
case_028,803/Pid.B/2024/PN Rap,,0,valid
case_029,1059/Pid.B/2023/PN Rap,,0,valid
case_030,142/Pid.B/2024/PN Rap,,0,valid
