case_id,case_001,case_002,case_003,case_004,case_005,case_006,case_007,case_008,case_009,case_010,case_011,case_012,case_013,case_014,case_015,case_016,case_017,case_018,case_019,case_020,case_021,case_022,case_023,case_024,case_025,case_026,case_027,case_028,case_029,case_030
case_001,0.9999999999999931,0.06601820834588012,0.043352433912551835,0.03738621262770503,0.04969202549892185,0.051228911961865346,0.04615509263462755,0.05609421614609327,0.06503035575470616,0.06958208175410562,0.05770671180235228,0.05714421571779098,0.07526852506170366,0.05687104569954334,0.05697775783851884,0.05043424338516519,0.06010833186351889,0.06893782168111222,0.08106554095878538,0.04187691328493595,0.07240804430015761,0.05402140830851758,0.11714753692905308,0.037501559915342014,0.04634661718851242,0.042846747764990964,0.05200290394766664,0.03840175383564982,0.03831729019667371,0.059847328814359724
case_002,0.06601820834588012,1.0000000000000007,0.05522513641760613,0.06637418895264931,0.026010521313615857,0.04010320091579214,0.05006841141970965,0.04434506322528693,0.0536736083721158,0.057579832968057805,0.036203350345239665,0.051388807266066934,0.057997498595048824,0.055026375192343255,0.04425581639957651,0.058470688102812654,0.05812737292950322,0.05055793193740734,0.12004153195404618,0.059656810794872166,0.07560880971498823,0.052872446515513684,0.051637011669961486,0.05964682525501054,0.06364720566169901,0.07011266969907402,0.051516417116286614,0.05181132643360337,0.04512649306143743,0.06702657706760219
case_003,0.043352433912551835,0.05522513641760613,0.9999999999999925,0.08018793524299159,0.040446593640339874,0.03867432405571809,0.058923429959930634,0.04096339222958365,0.09311021005323018,0.055845138481116254,0.03926155988210607,0.03430451345793226,0.06934434256640569,0.06340039755082971,0.052055987875384166,0.05939939996497642,0.03702101944185411,0.06302767904202884,0.07964912853705164,0.05336077749812821,0.08501362192090722,0.06994686208417991,0.09059803149941557,0.04748057674261123,0.05233360164317218,0.051940943990076496,0.07563096320286374,0.03718639434823975,0.03175206766898125,0.05420698338286166
case_004,0.03738621262770503,0.06637418895264931,0.08018793524299159,1.0,0.055638474039125814,0.06796602496156379,0.062099352586249976,0.10216224623675513,0.11521115593289051,0.044618592584139256,0.10091003732506831,0.07957916746615608,0.04249378318139938,0.07025933966406593,0.03822067520584971,0.05986137530090084,0.060977226102531056,0.04016269044654923,0.056859809658000006,0.042061530566452544,0.03713288146601406,0.05644908509498786,0.05496411324854648,0.06840345063832738,0.03930327730879496,0.03671611508015399,0.054176611714643885,0.02591236182737226,0.036544253654842915,0.06948537881247449
case_005,0.04969202549892185,0.026010521313615857,0.040446593640339874,0.055638474039125814,1.0000000000000007,0.0811139778461146,0.08240690119991212,0.06284452635460651,0.0523840275343518,0.049200182830006024,0.057723750641149214,0.029798564127234847,0.03830770074003157,0.04317944561684494,0.04538834349133901,0.058763496926378334,0.0545724390146442,0.06536042255632525,0.056719695906610794,0.032481073254122875,0.07437291189909175,0.054316518409656386,0.057795209201462056,0.03311681007233242,0.03010057030936298,0.052194638482921364,0.08750591006421381,0.05773115091699431,0.03602760001837088,0.0398560184378504
case_006,0.051228911961865346,0.04010320091579214,0.03867432405571809,0.06796602496156379,0.0811139778461146,1.000000000000006,0.0910803513635758,0.05641174056048073,0.057305109290279516,0.04520254919647629,0.05778301880986335,0.030668973640595915,0.04515804468582468,0.04227143208811723,0.045759569750411205,0.08543967342492795,0.05161148521339925,0.04037557138324279,0.05259786973413193,0.043075901948961756,0.04971222575009892,0.05036761885122808,0.07543664332696319,0.032850516655310046,0.045094828067246434,0.061879317423128626,0.059842342864180234,0.040814723983344715,0.02639109969131546,0.02326266807347395
case_007,0.04615509263462755,0.05006841141970965,0.058923429959930634,0.062099352586249976,0.08240690119991212,0.0910803513635758,0.9999999999999994,0.09121469852672982,0.058044804302907406,0.04082396717390007,0.06606844175496965,0.04153283598932085,0.10338041825781162,0.030040189498343074,0.047265232837717205,0.046775096034377565,0.04500480077435396,0.04044487630392689,0.05145251443574869,0.05913963268166972,0.06506252611215461,0.14868533256154,0.04928683042510908,0.07946292447995662,0.051203646849633584,0.06260102024307425,0.07843496022047777,0.03742450855676929,0.07856076934227031,0.08564449242927463
case_008,0.05609421614609327,0.04434506322528693,0.04096339222958365,0.10216224623675513,0.06284452635460651,0.05641174056048073,0.09121469852672982,1.0,0.09507084310679129,0.04649972417814775,0.055333439264081685,0.06771720747171238,0.04712793780549966,0.0486167847122997,0.029002404486455004,0.04518402447679882,0.05492810820086807,0.050146229119845155,0.04702031942691698,0.03446952651040518,0.055546300988719224,0.05475440110808325,0.05075382223824851,0.08554016139641325,0.038211949295214,0.03154136142767495,0.0860328102142567,0.05866633707539883,0.029731448157380214,0.055003843036488066
case_009,0.06503035575470616,0.0536736083721158,0.09311021005323018,0.11521115593289051,0.0523840275343518,0.057305109290279516,0.058044804302907406,0.09507084310679129,0.9999999999999999,0.07057607635121477,0.07898853250137194,0.07446194052352019,0.06020202974737578,0.07909674385751478,0.03822112141495781,0.08587169243929893,0.0575979643634978,0.05158066926963429,0.07415729946077855,0.044451929930619825,0.044206537754132934,0.0699543716077314,0.07603958449086339,0.09348295321747664,0.04660826848441769,0.038937520851795686,0.06705322924635805,0.03527233131746798,0.04011282862910112,0.09007946638925907
case_010,0.06958208175410562,0.057579832968057805,0.055845138481116254,0.044618592584139256,0.049200182830006024,0.04520254919647629,0.04082396717390007,0.04649972417814775,0.07057607635121477,1.0000000000000009,0.04143494775783231,0.06522140601692152,0.0690109275003262,0.04580927437399427,0.09048408396879663,0.06876088025985443,0.048885660393951244,0.05714584109674066,0.07441283461029055,0.03936753932375488,0.06888369391862102,0.06688786437441635,0.07617126849628794,0.03453219389410316,0.07653749443076298,0.04608146085559733,0.055186960962718086,0.05418851753803594,0.03776723644617699,0.047817203252367046
case_011,0.05770671180235228,0.036203350345239665,0.03926155988210607,0.10091003732506831,0.057723750641149214,0.05778301880986335,0.06606844175496965,0.055333439264081685,0.07898853250137194,0.04143494775783231,1.0000000000000009,0.12668181116920502,0.07815134885152729,0.058213688782148804,0.04215646608471845,0.04835808304291565,0.10151447963773692,0.054132055833310606,0.04824129668154577,0.0626950423328844,0.060227301146022455,0.04557059898256562,0.055878252944780535,0.04977631593217533,0.04744789675651611,0.03897395828480262,0.07343452822831742,0.03782547003779472,0.04296493192924016,0.04422809746209078
case_012,0.05714421571779098,0.051388807266066934,0.03430451345793226,0.07957916746615608,0.029798564127234847,0.030668973640595915,0.04153283598932085,0.06771720747171238,0.07446194052352019,0.06522140601692152,0.12668181116920502,1.0000000000000002,0.11977381675813105,0.06991192165804597,0.04561425657331193,0.054383758083139715,0.0688000590351941,0.06228838634040564,0.06253712092652229,0.07022012587999163,0.07390118705817925,0.06764107675537166,0.06604897728972028,0.0993197957185129,0.030364336221039376,0.05578373538219027,0.058267166342790416,0.03287135314069532,0.021695514144917893,0.05100047707502261
case_013,0.07526852506170366,0.057997498595048824,0.06934434256640569,0.04249378318139938,0.03830770074003157,0.04515804468582468,0.10338041825781162,0.04712793780549966,0.06020202974737578,0.0690109275003262,0.07815134885152729,0.11977381675813105,0.9999999999999989,0.0561028385008648,0.07106470101287911,0.032126792023485375,0.06741848148867963,0.06672701086380889,0.06777691343562499,0.07061761628529209,0.061222827656716314,0.1084025297787572,0.05475827805436026,0.044055740355140365,0.05489049245363076,0.03543931157585013,0.07057525844318815,0.0345278507330883,0.057408389290345196,0.08182951183337993
